Genre,Artist,Rating
electronic,dilly dally,8.0
electronic,dave aju,8.0
electronic,"daft punk, leiji matsumoto",8.0
electronic,calamalka,8.0
electronic,bows,8.0
electronic,be your own pet,8.0
electronic,baths,8.0
electronic,bablicon,8.0
electronic,andy stott,8.0
electronic,saint etienne,7.98
electronic,the eternals,7.97
electronic,aphex twin,7.97
electronic,starkey,7.95
electronic,roky erickson,7.95
electronic,robag wruhme,7.95
electronic,mouse on mars,7.95
electronic,manitoba,7.95
electronic,juju & jordash,7.95
electronic,james holden,7.95
electronic,egyptrixx,7.95
electronic,optimo,7.94
electronic,mark mcguire,7.94
electronic,flying lotus,7.93
electronic,dat politics,7.93
electronic,xtc,7.92
electronic,the tough alliance,7.92
electronic,washed out,7.9
electronic,wagon christ,7.9
electronic,visionist,7.9
electronic,the one am radio,7.9
electronic,test icicles,7.9
electronic,takako minekawa,7.9
electronic,stephan mathieu,7.9
electronic,smurphy,7.9
electronic,skream,7.9
electronic,sebo k,7.9
electronic,sascha funke,7.9
electronic,ricardo villalobos and max loderbauer,7.9
electronic,ramadanman,7.9
electronic,rabit,7.9
electronic,plantlife,7.9
electronic,paul wirkus,7.9
electronic,murcof,7.9
electronic,mirrorring,7.9
electronic,michal turtle,7.9
electronic,maximum balloon,7.9
electronic,lawrence,7.9
electronic,konk,7.9
electronic,king khan,7.9
electronic,keith fullerton whitman,7.9
electronic,kassem mosse,7.9
electronic,jrgen paape,7.9
electronic,jason urick,7.9
electronic,"james holden, luke abbott",7.9
electronic,james hardway,7.9
electronic,glasser,7.9
electronic,galcher lustwerk,7.9
electronic,fritz ostermayer,7.9
electronic,fairmont,7.9
electronic,"ekkehard ehlers, paul wirkus",7.9
electronic,dj sotofett,7.9
electronic,dj paypal,7.9
electronic,dacm,7.9
electronic,coil,7.9
electronic,azeda booth,7.9
electronic,augustus pablo,7.9
electronic,akira kosemura,7.9
electronic,aki onda,7.9
electronic,africaine 808,7.9
electronic,lcd soundsystem,7.89
electronic,dan deacon,7.88
electronic,tyondai braxton,7.87
electronic,the range,7.87
electronic,cristian vogel,7.87
electronic,thomas fehlmann,7.85
electronic,rocket from the tombs,7.85
electronic,rival consoles,7.85
electronic,reigning sound,7.85
electronic,goldie,7.85
electronic,the caretaker,7.83
electronic,matthew herbert,7.83
electronic,julianna barwick,7.83
electronic,barbara morgenstern,7.83
electronic,zane trow,7.8
electronic,vex'd,7.8
electronic,"tyondai braxton, parts & labor",7.8
electronic,the zutons,7.8
electronic,the other people place,7.8
electronic,the mole,7.8
electronic,the in out,7.8
electronic,the final solution,7.8
electronic,tetuzi akiyama,7.8
electronic,sui zhen,7.8
electronic,slava,7.8
electronic,shogun kunitoki,7.8
electronic,savant,7.8
electronic,ryuichi sakamoto,7.8
electronic,"roy montgomery, grouper",7.8
electronic,popol vuh,7.8
electronic,poni hoax,7.8
electronic,polmo polpo,7.8
electronic,omar s,7.8
electronic,ocelot,7.8
electronic,nite-funk,7.8
electronic,nisennenmondai,7.8
electronic,mri,7.8
electronic,motor city drum ensemble,7.8
electronic,monolake,7.8
electronic,mochipet,7.8
electronic,marumari,7.8
electronic,manyfingers,7.8
electronic,madeon,7.8
electronic,lycia,7.8
electronic,leon vynehall,7.8
electronic,larry heard,7.8
electronic,lakker,7.8
electronic,keith rowe,7.8
electronic,kedr livanskiy,7.8
electronic,holy other,7.8
electronic,"gil scott-heron, jamie xx",7.8
electronic,ghislain poirier,7.8
electronic,gaussian curve,7.8
electronic,fila brazillia,7.8
electronic,eyeless in gaza,7.8
electronic,"ekkehard ehlers, joseph suchy, franz hautzinger",7.8
electronic,earthly,7.8
electronic,doctor rockit,7.8
electronic,cult of youth,7.8
electronic,crooked man,7.8
electronic,clubroot,7.8
electronic,chris clark,7.8
electronic,cassie,7.8
electronic,caroline,7.8
electronic,bogdan raczynski,7.8
electronic,bnjmn,7.8
electronic,blevin blectum,7.8
electronic,bexar bexar,7.8
electronic,ben ufo,7.8
electronic,appliance,7.8
electronic,anthony naples,7.8
electronic,andrew weatherall,7.8
electronic,all tiny creatures,7.8
electronic,actress,7.8
electronic,crystal castles,7.78
electronic,annie,7.78
electronic,two lone swordsmen,7.77
electronic,the field,7.77
electronic,tape,7.77
electronic,lone,7.77
electronic,handsome furs,7.77
electronic,uusitalo,7.75
electronic,tujiko noriko,7.75
electronic,seven davis jr.,7.75
electronic,kode9 & the spaceape,7.75
electronic,junior senior,7.75
electronic,hans-joachim roedelius,7.75
electronic,girls aloud,7.75
electronic,electric birds,7.75
electronic,david holmes,7.75
electronic,classixx,7.75
electronic,amon tobin,7.74
electronic,suicide,7.73
electronic,paavoharju,7.73
electronic,dj rashad,7.73
electronic,auburn lull,7.73
electronic,hercules and love affair,7.72
electronic,hot chip,7.71
electronic,vangelis,7.7
electronic,untold,7.7
electronic,time wharp,7.7
electronic,thunder tillman,7.7
electronic,thug entrancer,7.7
electronic,the prima donnas,7.7
electronic,the knife,7.7
electronic,surgeon,7.7
electronic,special request,7.7
electronic,skullflower,7.7
electronic,"ryksopp, robyn",7.7
electronic,rhythm & sound,7.7
electronic,"ramadanman, pearson sound",7.7
electronic,r.l. burnside,7.7
electronic,pixeltan,7.7
electronic,pigeon funk,7.7
electronic,pangaea,7.7
electronic,osso,7.7
electronic,nine horses,7.7
electronic,new build,7.7
electronic,neotropic,7.7
electronic,neon blonde,7.7
electronic,mndsgn,7.7
electronic,megafortress,7.7
electronic,lustmord,7.7
electronic,"lawrence english, minamo",7.7
electronic,kuedo,7.7
electronic,kornl kovcs,7.7
electronic,koen holtkamp,7.7
electronic,khonnor,7.7
electronic,"jarboe, justin k. broadrick",7.7
electronic,jacaszek,7.7
electronic,gez varley,7.7
electronic,funki porcini,7.7
electronic,essaie pas,7.7
electronic,dot allison,7.7
electronic,dj katapila,7.7
electronic,"dj /rupture, matt shadetek",7.7
electronic,davila 666,7.7
electronic,daniel.t.,7.7
electronic,damian marley,7.7
electronic,controller.controller,7.7
electronic,colleen,7.7
electronic,clubfeet,7.7
electronic,chromatics,7.7
electronic,chicken lips,7.7
electronic,chevel,7.7
electronic,burnt friedman,7.7
electronic,bola,7.7
electronic,black to comm,7.7
electronic,"bjrk, dirty projectors",7.7
electronic,barry adamson,7.7
electronic,bakonour,7.7
electronic,aufgang,7.7
electronic,alaska in winter,7.7
electronic,roman flgel,7.68
electronic,mira calix,7.68
electronic,katy b,7.68
electronic,broadcast,7.68
electronic,ted leo and the pharmacists,7.67
electronic,eddy current suppression ring,7.67
electronic,dj koze,7.67
electronic,the cansecos,7.65
electronic,the beets,7.65
electronic,suzanne kraft,7.65
electronic,rustie,7.65
electronic,friendly fires,7.65
electronic,eliot lipp,7.65
electronic,cut copy,7.65
electronic,michael mayer,7.64
electronic,twine,7.63
electronic,to rococo rot,7.63
electronic,these new puritans,7.63
electronic,pantha du prince,7.63
electronic,nosaj thing,7.63
electronic,floating points,7.63
electronic,youandewan,7.6
electronic,worriedaboutsatan,7.6
electronic,whitehouse,7.6
electronic,viernes,7.6
electronic,tv ghost,7.6
electronic,tokyo black star,7.6
electronic,the lovely feathers,7.6
electronic,the juan maclean,7.6
electronic,susanna and the magical orchestra,7.6
electronic,super wild horses,7.6
electronic,steven warwick,7.6
electronic,spirituals,7.6
electronic,siriusmo,7.6
electronic,shackleton,7.6
electronic,"philip jeck, janek schaefer",7.6
electronic,peder mannerfelt,7.6
electronic,"patrick cowley, candida royalle",7.6
electronic,nadja,7.6
electronic,music a.m.,7.6
electronic,mind spiders,7.6
electronic,mcferrdog,7.6
electronic,mark pritchard,7.6
electronic,"mark mcguire, trouble books",7.6
electronic,lokai,7.6
electronic,loess,7.6
electronic,lena willikens,7.6
electronic,kreng,7.6
electronic,jetone,7.6
