Artist,Average_Rating,Genre
juju & jordash,7.95,electronic
mouse on mars,7.95,electronic
robag wruhme,7.95,electronic
starkey,7.95,electronic
clark,7.94,electronic
optimo,7.94,electronic
dat politics,7.93,electronic
ada,7.9,electronic
aki onda,7.9,electronic
akira kosemura,7.9,electronic
buraka som sistema,7.9,electronic
dabrye,7.9,electronic
dacm,7.9,electronic
dj paypal,7.9,electronic
dj sotofett,7.9,electronic
fairmont,7.9,electronic
four tet,7.9,electronic
fritz ostermayer,7.9,electronic
galcher lustwerk,7.9,electronic
"james holden, luke abbott",7.9,electronic
jason urick,7.9,electronic
jrgen paape,7.9,electronic
kassem mosse,7.9,electronic
koushik,7.9,electronic
lawrence,7.9,electronic
michal turtle,7.9,electronic
mirrorring,7.9,electronic
paul wirkus,7.9,electronic
plantlife,7.9,electronic
rabit,7.9,electronic
ramadanman,7.9,electronic
ricardo villalobos and max loderbauer,7.9,electronic
sascha funke,7.9,electronic
sebo k,7.9,electronic
skream,7.9,electronic
smurphy,7.9,electronic
stephan mathieu,7.9,electronic
takako minekawa,7.9,electronic
tensnake,7.9,electronic
the bug,7.9,electronic
visionist,7.9,electronic
dan deacon,7.88,electronic
dj koze,7.88,electronic
jason forrest,7.88,electronic
venetian snares,7.88,electronic
cristian vogel,7.87,electronic
the range,7.87,electronic
toro y moi,7.86,electronic
goldie,7.85,electronic
holy fuck,7.85,electronic
richie hawtin,7.85,electronic
rival consoles,7.85,electronic
thomas fehlmann,7.85,electronic
zomby,7.84,electronic
greg davis,7.83,electronic
the caretaker,7.83,electronic
ellen allien,7.81,electronic
andrew weatherall,7.8,electronic
anthony naples,7.8,electronic
appliance,7.8,electronic
ben ufo,7.8,electronic
bexar bexar,7.8,electronic
bibio,7.8,electronic
blevin blectum,7.8,electronic
bnjmn,7.8,electronic
carl craig,7.8,electronic
caroline,7.8,electronic
chris clark,7.8,electronic
clubroot,7.8,electronic
crooked man,7.8,electronic
earthly,7.8,electronic
gaussian curve,7.8,electronic
hot chip,7.8,electronic
jackson and his computerband,7.8,electronic
jan st. werner,7.8,electronic
